categoría,nombre del plato,descripción,precio,URL de imagen
"Para comenzar","Alitas","8 unidades.","S/22.00","/images/para-comenzar/alitas_comenzar.jpg"
"Para comenzar","Chicharrón de pollo","","S/20.00","/images/para-comenzar/chicharron_pollo.png"
"Para comenzar","Salchipapa","","S/15.00","/images/para-comenzar/salchipapa.jpg"
"Para comenzar","Tequeños Bravazas","8 unidades.","S/16.00","/images/para-comenzar/tequenos_bravazas.png"
"Criollos","Lomo saltado","","S/28.00","/images/criollos/lomo_saltado_criollo.jpg"
"Criollos","Pollo saltado","","S/22.00","/images/criollos/pollo_saltado.jpg"
"Criollos","Tallarín saltado de pollo","","S/25.00","/images/criollos/tallarin_pollo_criollo.jpg"
"Criollos","Tallarín saltado de carne","","S/28.00","/images/criollos/tallarin_carne_criollo.png"
"Criollos","Lomo saltado a lo pobre","","S/32.00","/images/criollos/lomo_pobre.png"
"Criollos","Churrasco a lo pobre","","S/30.00","/images/criollos/churrasco_pobre.jpg"
"Criollos","Pechuga a lo pobre","","S/27.00","/images/criollos/pechuga_pobre.png"
"Criollos","Chaufa de pollo","","S/20.00","/images/criollos/chaufa_pollo.png"
"Criollos","Chaufa de carne","","S/25.00","/images/criollos/chaufa_carne.png"
"Criollos","Chaufa mixto","","S/28.00","/images/criollos/chaufa_mixto.png"
"Criollos","Aeropuerto especial","","S/28.00","/images/criollos/aeropuerto.jpg"
"Pastas Bravazas","Brasa en pasta","Salsa a elección: pesto, huancaína o Alfredo.","S/25.00","/images/pastas-bravazas/brasa_pasta.png"
"Pastas Bravazas","Churrasco en pasta","Salsa a elección: pesto, huancaína o Alfredo.","S/31.00","/images/pastas-bravazas/churrasco_pasta.png"
"Pastas Bravazas","Pechuga en pasta","Salsa a elección: pesto, huancaína o Alfredo.","S/27.00","/images/pastas-bravazas/pechuga_pasta.png"
"Pastas Bravazas","Lomo en pasta","Salsa a elección: pesto, huancaína o Alfredo.","S/30.00","/images/pastas-bravazas/lomo_pasta.jpg"
"Del horno a tu mesa","1/4 pollo + papas + ensalada","","S/18.00","/images/del-horno-a-tu-mesa/pollo_1_4.jpg"
"Del horno a tu mesa","1/4 chaufero","1/4 de pollo, chaufa, papas, ensalada y cremas.","S/24.00","/images/del-horno-a-tu-mesa/un_cuarto_chaufero.jpg"
"Del horno a tu mesa","1/4 parrillero","1/4 de pollo, chorizo, papas, ensalada y cremas.","S/22.00","/images/del-horno-a-tu-mesa/un_cuarto_parrillero.png"
"Del horno a tu mesa","1/4 anticuchero","1/4 de pollo, anticuchos, papas, ensalada y cremas.","S/24.00","/images/del-horno-a-tu-mesa/un_cuarto_anticuchero.png"
"Del horno a tu mesa","1/2 pollo + papas + ensalada","","S/34.00","/images/del-horno-a-tu-mesa/pollo_1_2.jpg"
"Del horno a tu mesa","1 pollo + papas + ensalada","","S/60.00","/images/del-horno-a-tu-mesa/pollo_1.png"
"Para los engreídos","1/8 pollo + papas + ensalada + chicha","","S/14.00","/images/para-los-engreídos/pollo_1_8.jpg"
"Para los engreídos","8 nuggets + papas + chicha","","S/14.00","/images/para-los-engreídos/nuggets_redondos.jpg"
"Caldos","Caldo de gallina","","S/15.00","/images/caldos/caldo_gallina.jpg"
"Caldos","Dieta de pollo","","S/15.00","/images/caldos/dieta_pollo.jpg"
"Guarniciones","Porción de papas","","S/14.00","/images/guarniciones/papas_fritas.png"
"Guarniciones","1/2 porción de papas","","S/8.00","/images/guarniciones/medio_papas.jpg"
"Guarniciones","Porción de arroz blanco","","S/5.50","/images/guarniciones/arroz_blanco.jpg"
"Guarniciones","Plátano frito","","S/5.00","/images/guarniciones/platano_frito.png"
"Guarniciones","Huevo frito","","S/3.00","/images/guarniciones/huevo_frito.png"
"Guarniciones","Ensalada Bravaza","","S/10.00","/images/guarniciones/ensalada_bravaza.jpg"
"Entradas parrilleras y cortes","Anticuchos","Acompañados de papas sancochadas y choclo.","S/24.00","/images/entradas-parrilleras-y-cortes/anticuchos_entrada.jpg"
"Entradas parrilleras y cortes","Mollejitas 250 gr","Acompañadas de papas fritas and ensalada.","S/20.00","/images/entradas-parrilleras-y-cortes/mollejitas_250g.png"
"Entradas parrilleras y cortes","Chorizo finas hierbas","Acompañado de papas fritas.","S/18.00","/images/entradas-parrilleras-y-cortes/chorizo_hierbas.png"
"Entradas parrilleras y cortes","Pechuga 250 gr","Acompañada de papas fritas y ensalada.","S/24.00","/images/entradas-parrilleras-y-cortes/pechuga_250g.jpg"
"Entradas parrilleras y cortes","Pechuga rellena","Rellena de tocino, jamón y queso; acompañada de papas y ensalada.","S/30.00","/images/entradas-parrilleras-y-cortes/pechuga_rellena.png"
"Entradas parrilleras y cortes","Pechuga light","Acompañada de verduras frescas y palta.","S/25.00","/images/entradas-parrilleras-y-cortes/pechuga_light.jpg"
"Entradas parrilleras y cortes","Chuleta 250 gr","Acompañada de papas fritas y ensalada con palta.","S/24.00","/images/entradas-parrilleras-y-cortes/chuleta_250g.jpg"
"Entradas parrilleras y cortes","Churrasco 250 gr","Acompañado de papas fritas y ensalada con palta.","S/26.00","/images/entradas-parrilleras-y-cortes/churrasco_250g.jpg"
"Entradas parrilleras y cortes","Bife ancho 300 gr","Acompañado de papas fritas y ensalada con palta.","S/43.00","/images/entradas-parrilleras-y-cortes/bife_ancho_300g.jpg"
"Entradas parrilleras y cortes","Bife angosto 300 gr","Acompañado de papas fritas y ensalada con palta.","S/43.00","/images/entradas-parrilleras-y-cortes/bife_angosto_300g.jpg"
"Entradas parrilleras y cortes","Picaña 300 gr","Acompañada de papas fritas y ensalada con palta.","S/46.00","/images/entradas-parrilleras-y-cortes/picana_300g.jpg"
"Parrillas familiares","Parrilla Pareja","Incluye 1/4 de pollo, 1 churrasco, 1 chuleta, 1 molleja, 1 porción de anticuchos, 1 chorizo finas hierbas, papas y ensalada con palta.","S/80.00","/images/parrillas-familiares/parrilla_pareja.png"
"Parrillas familiares","Parrilla Bravaza","Incluye 1/2 pollo, 1 churrasco, 1 chuleta, 1 pechuga, 1 molleja, 1 anticucho, 2 chorizos finas hierbas, papas y ensalada con palta.","S/130.00","/images/parrillas-familiares/parrilla_bravaza.jpg"
"Parrillas familiares","Parrilla Premium","Incluye 1 bife ancho, 1 bife angosto, 1 picaña, 3 chorizos finas hierbas, vino, papas y ensalada de palta.","S/140.00","/images/parrillas-familiares/parrilla_premium.jpg"
"Cócteles / Happy Day","Pisco sour clásico","","S/18.00","/images/cocteles-happy-day/pisco_sour_clasico.jpg"
"Cócteles / Happy Day","Pisco sour de maracuyá","","S/18.00","/images/cocteles-happy-day/pisco_sour_maracuya.png"
"Cócteles / Happy Day","Chilcano clásico","","S/18.00","/images/cocteles-happy-day/chilcano_clasico.jpg"
"Cócteles / Happy Day","Chilcano de maracuyá","","S/18.00","/images/cocteles-happy-day/chilcano_maracuya.png"
"Cócteles / Happy Day","Piña colada","","S/20.00","/images/cocteles-happy-day/pina_colada.png"
"Cócteles / Happy Day","Algarrobina","","S/20.00","/images/cocteles-happy-day/algarrobina.png"
"Cócteles / Happy Day","Daiquiri de durazno","","S/18.00","/images/cocteles-happy-day/daiquiri_durazno.png"
"Cócteles / Happy Day","Mojito","","S/19.00","/images/cocteles-happy-day/mojito.png"
"Cócteles / Happy Day","Cuba libre","","S/18.00","/images/cocteles-happy-day/cuba_libre.png"
"Cócteles / Happy Day","Sangría 1 litro","","S/30.00","/images/cocteles-happy-day/sangria_1l.png"
"Vinos y cervezas","Tacama Rose Semi Seco","","S/40.00","/images/vinos-y-cervezas/tacama_rose.png"
"Vinos y cervezas","Tacama Amore de Ica","","S/45.00","/images/vinos-y-cervezas/tacama_amore.png"
"Vinos y cervezas","Tabernero Vittoria Rose","","S/45.00","/images/vinos-y-cervezas/tabernero_vittoria.png"
"Vinos y cervezas","Casillero del Diablo Carmenere","","S/60.00","/images/vinos-y-cervezas/casillero_diablo.png"
"Vinos y cervezas","Tacama Gran Tinto","","S/50.00","/images/vinos-y-cervezas/tacama_gran_tinto.png"
"Vinos y cervezas","Queirolo Borgoña","","S/35.00","/images/vinos-y-cervezas/queirolo_borgona.png"
"Vinos y cervezas","Queirolo Rose","","S/35.00","/images/vinos-y-cervezas/queirolo_rose.png"
"Vinos y cervezas","Corona / Heineken","","S/10.00","/images/vinos-y-cervezas/corona_heineken.png"
"Vinos y cervezas","Cusqueña Trigo","","S/10.00","/images/vinos-y-cervezas/cusquena_trigo.png"
"Vinos y cervezas","Cusqueña Negra","","S/11.00","/images/vinos-y-cervezas/cusquena_negra.png"
"Vinos y cervezas","Pilsen","","S/9.00","/images/vinos-y-cervezas/pilsen.png"
"Vinos y cervezas","Pilsen lata","","S/7.50","/images/vinos-y-cervezas/pilsen_lata.png"
"Gaseosas","Gaseosa personal 192 ml","","S/2.50","/images/gaseosas/gaseosa_personal.png"
"Gaseosas","Gaseosa 600 ml","","S/6.00","/images/gaseosas/gaseosa_600ml.png"
"Gaseosas","Gaseosa 1 1/2 L","","S/12.00","/images/gaseosas/gaseosa_1_5l.jpg"
"Gaseosas","Agua mineral","","S/3.50","/images/gaseosas/agua_personal.png"
"Bebidas naturales","Limonada","Presentación en vaso.","S/7.00","/images/bebidas-naturales/limonada.png"
"Bebidas naturales","Limonada","Presentación en jarra.","S/15.00","/images/bebidas-naturales/limonada_jarra.png"
"Bebidas naturales","Chicha","Presentación en vaso.","S/7.00","/images/bebidas-naturales/chicha.png"
"Bebidas naturales","Chicha","Presentación en jarra.","S/15.00","/images/bebidas-naturales/chicha_jarra.png"
"Bebidas naturales","Maracuyá","Presentación en vaso.","S/7.00","/images/bebidas-naturales/maracuya.png"
"Bebidas naturales","Maracuyá","Presentación en jarra.","S/15.00","/images/bebidas-naturales/maracuya_jarra.png"
"Bebidas naturales","Naranjada","Presentación en vaso.","S/7.00","/images/bebidas-naturales/naranjada.png"
"Bebidas naturales","Naranjada","Presentación en jarra.","S/15.00","/images/bebidas-naturales/naranjada_jarra.png"
"Frozen","Frutos rojos","","S/10.00","/images/frozen/frozen_frutos_rojos.png"
"Frozen","Chicha","","S/10.00","/images/frozen/frozen_chicha.png"
"Frozen","Maracuyá","","S/10.00","/images/frozen/frozen_maracuya.png"
"Frozen","Limón","","S/10.00","/images/frozen/frozen_limon.png"
